Sujetos,lematizado,texto_crudo
11,hoy venir casa así realidad hacer demasiado levanté medio tarde sentir mal igual ayer así quedar todo mañana trabajar uno figura necesitar hacer paper hacer gente laboratorio salir medio mal después cambiar almorcé salir pasar lugar llamar diagnóstico maipú retirar resultado ahí tomar colectivo 42 si necesitar mayor cantidad detalle posible justo así esperar montón tiempo bajo sol suerte vino ramal pampa arriba colectivo encontrar amiga así charlar camino llegar acá rato charlar gente laboratorio bar esperar director hora laboratorio vino así venir acá laboratorio vacío saber poder contar tú montón detalle mesa ocho persona investigador conocido así medio escuchar él crucir ahora hacer labo 6 7 así medio vinir labo varios vez final quedar solo laboratorio coloquio," Hoy antes de venir estuve en mi casa, así que en realidad no hice demasiado. Me levanté medio tarde y me sentía mal, igual que ayer. Así que me quedé toda la mañana trabajando en unas figuras que necesitaba hacer para un paper que estamos haciendo con la gente de mi laboratorio. Me salió todo medio mal. Y después me cambié, almorcé y salí. Pasé por un lugar que se llama Diagnóstico Maipú a retirar unos resultados y de ahí me fui a tomar el colectivo, el 42. Si necesitas la mayor cantidad de detalles posible, justo se me fue uno, así que lo tuve que esperar un montón de tiempo bajo el sol. Pero por suerte vino uno del ramal de la Pampa y arriba del colectivo me encontré con una amiga, así que charlamos todo el camino. Y cuando llegué acá estuve un rato charlando con la gente del laboratorio en el bar. Esperé a mi director una hora en el laboratorio y no vino, así que vine para acá. El laboratorio estaba vacío. No sé qué más. Podría contarte un montón de detalles. En la mesa estábamos como ocho personas y había un investigador muy conocido, así que estábamos todos medio escuchándolo a él. Me crucé con los que ahora están haciendo el labo 6 y 7, así que medio que fuimos y vinimos del labo varias veces, pero al final me quedé yo sola en el laboratorio porque todos fueron al coloquio. "
12,buen hoy coner llegar cuento empezar día buen dormir juan novio salir cada trabajo coner ahí mañana estudiar cálculo hacer cosita trabajo chiquita después almorcé gente trabajo tomar café después tarde terminar arreglar cosa hacer mañana venir acáno saber tomé 28 almorcé tarta ver lu,"Bueno, hoy fui a Conea y... llegué... ¿Qué te cuento desde que empezó el día? Bueno, dormí en la de Juan, mi novio. Salimos cada uno para su trabajo, yo fui a Conea. Estuve ahí a la mañana estudiando cálculo y haciendo algunas cositas del trabajo, pero chiquitas. Después almorcé con la gente del trabajo y tomamos un café. Después a la tarde terminé de arreglar las cosas que tengo que hacer mañana y vine para acá.No sé, me tomé el 28. Almorcé, tarta, la vi a Lu."
13,venir hacer tesis lec sala muestra hacer transferencia temperatura pvc venir acá ver edificio romper portamuestra temer integridad microscopio ver mauro hablar mauro preguntar mefe preguntar docente mefe despedir becario venir acá tomar agua mauro abierto whatsapp web becario hacer alineación láser decir mañana ir llegar tarde ir comprar cobre casero dejar fuente cajita trabajo mesado,"Antes de venir estuve haciendo tesis en el LEC, fui a la sala de muestras a hacer transferencias con temperatura, con PVC. Eso, y vine hasta acá, vi el edificio. Se me rompió uno de los portamuestras y temí por la integridad del microscopio. Lo vi a Mauro, hablé con Mauro, me preguntó sobre MEFE, me preguntó sobre el docente de MEFE. Me despedí del becario y vine para acá. Tomé agua, Mauro tenía abierto WhatsApp web, el becario estaba haciendo alineación de un láser, me dijo que mañana va a llegar tarde porque tiene que ir a comprar cobre a Caseros. Yo dejé la fuente y mi cajita de trabajo en la mesada de él. "
14,buen venir terminar cursar materia 4 así hacer tiempo ahora 5 medio así hacer ejercicio materia hacer biblioteca pabellón 2 silencioso hacer poder salir después dar pereza continuar poner celular después venir gente jugar mesa ping pong persona conocido ex compañero laboratorio después venir gente puerta pabellón encontrar gente cursar mefe conocer así saludar después llegar acá entrar dos persona olvidar llave tocar timbre entrar después buen esperar cori venir abrir yo entrar," Bueno, antes de venir terminé de cursar una materia a las 4, así que tuve que hacer tiempo hasta ahora a las 5 y media. Así que me fui a hacer ejercicios de una materia que estoy haciendo a la biblioteca de pabellón 2, a la silenciosa. Hice lo que pude, algunos me salieron, algunos no. Después me dio pereza continuar y me puse con el celular. Y después vine y... eso. Había gente jugando en la mesa de ping pong, o una persona conocida, un ex compañero de laboratorio. Y después cuando vine también había gente que había en la puerta del pabellón, encontré a gente que cursaba MEFE. Pero no la conocía, así que no la saludé. Y después cuando llegué acá entraron dos personas que se olvidaron las llaves y que tocaron timbre para entrar. Y después, bueno, esperé a Cori a que venga a abrirme para entrar."
15,buen venir entrevista mañana gente universidad mainz después estar materia preparar ahora física teórico 3 después reunión tesis seguir estudiar venir acá decir cambio plan decir hacer tesis centrar estudiar materia preparar final crucir par persona crucir compañero facu ale amigo novio merender venir acá," Bueno, antes de venir, tuve una entrevista a la mañana con gente de una universidad en Mainz. Después estudié un poco de la materia que estoy preparando ahora, que es física teórica 3. Y después tuve una reunión de tesis, seguí estudiando y vine para acá. Que me dijeron... Tuve un cambio de planes porque me dijeron que no haga más la tesis. Y que me centré en estudiar para la materia que estoy preparando para el final. Y me crucé con un par de personas. Me crucé con un compañero de la facu, Ale, y unos amigos de él y mi novio también. Y merendamos antes de venir para acá."
16,buen venir cursar electrodinámica cuántico cursar varios conocido dos hora teórico dos hora práctico resolver varios ejercicio buen ejercicio pensar ir ser difícil final resultar ser cortito interesante práctica varios poquito buen armar grupito hablar ejercicio buen crucir azu entrar pensar pelo corto creer tal vez si cortar decir desabrigado parecer ir tener frío ocurrir," Bueno, antes de venir estuve cursando Electrodinámica Cuántica, cursé con varios conocidos, estuve dos horas en la teórica, dos horas en la práctica, donde resolvimos varios ejercicios. Estuvo bueno porque eran ejercicios que pensé que iban a ser difíciles y al final resultaron a ser cortitos y muy interesantes. En la práctica se fueron varios, éramos poquitos, y estuvo bueno, armamos un grupito para hablar de esos ejercicios. Bueno, me crucé con Azu, antes de entrar, pensé que tenía el pelo más corto, creo que tal vez si se lo cortó y yo no le dije. Estaba un poco desabrigada, me parece que iba a tener frío. No se me ocurre qué más."
17,levanté poner alarma 10 levanté 9 medio quedar hacer boludez 10 menos bajar cuarto bañar cepillar diente después bajar viejo computadora decir acabar hacer café si querés esperar 15 hacer hacer decir hacer café saber arriba hacer café subir cuarto compu después poner estudiar cálculo mientras ver modern family estudiar cálculo decir así 12 aproximadamente estudiar cálculo ahí escribir hermana decir bajar comer faltar 5 minuto saber entonces bajar comer hacer comida saber cuento detalle saltear pollo arroz poner rapidito comer cambiar parada bondi justo par esperar hermana viajar tomar bondi venir llegar encontrar acá chico salir mefe entonces comer sumir después poner estudiar cálculo después venir caminar acámi viejo decir tener pollo hacer pollo querer ver serie hermana decir llegar ver serie corto tiempo cambiar llegar ver 30 minuto comer ver serie hacer comida decir poner hornito ir él entonces vivir serie,"Me levanté, me puse la alarma a las 10, pero me levanté 9 y media y me quedé haciendo boludeces hasta las 10 más o menos. Bajé de mi cuarto, me bañé, me cepillé los dientes después bajé, estaba mi viejo en la computadora. Me dijo, me acabo de hacer un café, si querés espera 15 que me hago otro y te hago uno. Yo le dije no, me hago café yo, me lo subo arriba, me hice un café, me subí a mi cuarto estuve con la compu y después me puse a estudiar cálculo mientras veía Modern Family se estudia cálculo digamos. Así que nada, estuve hasta las 12 aproximadamente estudiando cálculo ahí me escribió mi hermana diciendo que teníamos que bajar a comer pero que le faltaban 5 minutos, yo que sé. Entonces bajé a comer, me hice la comida no sé, cuento con todo detalle, saltee pollo con un poco de arroz, lo puse en una rapidita. Comí, me cambié, fui a la parada del bondi que justo se fueron un par, estuve esperando, estaba con mi hermana viajé con ella. Me tomé el bondi para venir, llegué, me encontré acá con los chicos que salían de MEFE entonces, nada, fui, ellos se están comiendo. Me sumé y después me puse a estudiar un poco de cálculo y después vine caminando hasta acá.
Mi vieja me dijo que tenés pollo, me hice pollo. Y quería ver una serie con mi hermana pero me dijo que nos llegamos a ver la serie porque estábamos cortos de tiempo porque ella también se tenía que cambiar y nos llegamos a ver. No teníamos 30 minutos para comer viendo la serie porque hicimos la comida, digamos no era poner algo en el hornito e irse entonces, no, no vivimos una serie pero eso."
18,venir hoy curso materia mefe método estadístico físico experimental materia bien curso bastante gente conocer así pasar bien todavía poder sentar alguien matar así esperar día dar aula lleno ocupar asiento ocupar pensado después almuerzo almorcé 14 menos terminar 1430 pensado poner yo resolver problema ejercicio quedar hacer mesa hacer 1640 45 venir acá así mesa quedar hablar iván ayudante materia ahí almorzar emi flor buen emi cursar mefe ahí quedar hablar problema materia vida tesis doctorado tanto particular situación hablar tesis doctorado ir hacer teórico dar jtp teórico resto buen esperar hacer ejercicio final hacer así," Antes de venir, hoy curso una materia MEFE, que es Métodos Estadísticos en Física Experimental. La materia está bien, la curso con bastante gente que conozco, así que se pasa bien. Todavía no me pude sentar con alguien que tenga mate, así que estoy esperando que un día se dé eso. También el aula está muy llena y nada, se ocupa el asiento que se ocupa. Y tenía pensado después del almuerzo, que eso fue, o sea almorcé a las 14, más o menos habré terminado 14:30. Tenía pensado ponerme a resolver problemas de ejercicio, pero me quedé haciendo sobre mesa hasta que se hicieron las 16:40, 45 y vine para acá, así que nada, la sobre mesa me quedé hablando con Iván, que es uno de los ayudantes de la materia. También con algunos que estaban ahí almorzando. Estaba Emi, estaba Flor, bueno Emi no cursa MEFE, pero estaba ahí. Y nada, nos quedamos hablando de algunos problemas de la materia y nada de la vida, de la tesis y del doctorado. Nada tan particular sobre mi situación en eso, pero sí hablaban ellos sobre su tesis o sus doctorados o qué iban a hacer. 
La teórica la dio el JTP porque el de la teórica no estaba. Y no, nada, el resto, bueno sí, esperaba hacer ejercicio pero al final no hice nada, así que nada."
19,levanté tarde hacer yo dos tostada cocina actimel poner queso crema hacer mochi hoy día super largo poner montón cosa mochila tomar colectivo colectivo ratito vino viajar sentado llegar facu venir cursar mefe 9 igual llegar 9 medio ir saltear pasar clase después mefe almorzar tipo 3 hacer consulta f1 vinir uno 7 persona creer después terminar 5 20 5 medio quedar esperar ahí ir hc poder ser específico respecto cómo llegar pabellón 1 acá estacionamiento encarar industria después acordar ahí así seguir callecita pastito llegar puerta idea cómo entrar dónde ir tocar timbre parecer tecnológico responder seguridad preguntar yo quién venir ver decir pasar,"Me levanté tarde, fui a hacerme dos tostadas a la cocina con un actimel, le puse queso crema. Me hice la mochi porque hoy tenía un día super largo y tenía que poner un montón de cosas en la mochila. Me fui a tomar en colectivo, se me fue en colectivo pero al ratito vino otro. Viajé sentada, llegué a la facu, me vine a cursar MEFE a las 9, que igual llegué a 9 y media, me voy a saltear un poco todo lo que pasó en la clase. Después de MEFE fuimos a almorzar hasta tipo 3 que tenía que hacer consultas para F1 que vinieron unas 7 personas, creo. Y después de eso terminé como a las 5 y 20, 5 y media y me quedé esperando ahí para ir aca. 
Puedo ser un poco más específica con respecto a cómo llegué del pabellón 1 acá, fui para el estacionamiento, como que encaré para industrias pero después me acordé que no era ahí. Así que seguí por la callecita de esa con pastito y cuando llegué a la puerta no tenía idea de cómo entrar ni a dónde tenía que ir. Toqué un timbre y todo parecía como muy tecnológico, y me respondió en seguridad preguntándome de quién venía a ver y me dijo que pase."
20,día básicamente despertar tarde hacer desayuno siempre decidir si venir bondi bici decidir bondar lleno cosa buen llegar labo mati nadie hecho luz cortado así terminar ir dm realidad intentar ir hemerotéca dm seguir leer cosa laboratorio seguir frustrar yo trabar cosa valer pena después día laboratorio leer intentar codear cosa fracasar eventualmente almorzar volver gabi ver así consultar claudio después poner hacer cosa labo labo usar codeado sacar uno foto esperar servir testear anduvir algoritmo eventualmente hacer tarde tomar mate fumar pucho terraza después hacer tiempo acá charlar ludmi después gabi caer matera creer romper termar así detalle malo día,"Durante el día básicamente, me desperté un poco tarde me hice el desayuno como siempre y tuve que decidir si venir en bondi o en bici, decidí en bondi porque estaba llena de cosas. Y bueno, cuando llegué fuimos al labo con Mati que no había nadie, de hecho estaba la luz cortada, así que nos terminamos yendo al DM, en realidad intentamos ir a la hemerotéca, fuimos al DM a seguir leyendo cosas del laboratorio a seguir frustrándonos porque nos trabamos con cosas que para mi no valen la pena. Y después fue día de laboratorio, de leer mucho, intentar codear cosas, fracasar un poco. Eventualmente almorzamos, volvimos, a Gabi ni la vimos, así que fuimos a consultar con Claudio. Y después sí nos pusimos a hacer más cosas del labo, en el labo, usando lo que ya habíamos codeado. Sacamos unas fotos que espero nos sirvan, testeamos que anduviera el algoritmo y eventualmente se hizo tarde y nos fuimos a tomar mate y a fumar un pucho a la terraza del uno. Y después hice tiempo acá, charlando con Ludmi y después Gabi. 
Se me cayó la matera y creo que se me rompió el termó, así como detalles malos del día."
21,trabajar casa trabajo hacer home office así básicamente despertar empezar trabajar tiempo trabajar 6 tarde 6 tarde agarrar celular cosa agarrar llave auto salir meter auto manejar acá llegar edificio 1 edificio 1 cero infinito pensar quizás entrevista ahí preguntar dónde deber ir encontrar dos persona vinir hacer entrevista decir realidad ir edificio después además paso si acaso llamar persona entrevistador decir exactamente dónde ir cómo entrar básicamente capaz pasar hoy particularmente recordar medio fuerte fuerte emocionante fuerte pequeño cagada pedos cagado pedos ché tal vez buen decir líder pegar pedir explicación hablar bien llegar bien acuerdo así terminar bien cosa hacer hoy buen poder decir comer comer bastante sobras almorzar dos porción pizza quedar suflir creer berenjena pollo cosa saber ah queso rico hacer café tipo 5 tarde dormido necesitar despertar alguno manera,"Estuve trabajando desde mi casa. Yo trabajo, hago home office, así que básicamente me desperté y empecé a trabajar y estuve todo el tiempo trabajando hasta las 6 de la tarde. A las 6 de la tarde agarré mi celular, mis cosas, agarré las llaves del auto, salí, me metí al auto, manejé hasta acá y llegué al edificio 1. En el edificio 1 fui hasta, el cero más infinito porque pensé que quizás la entrevista era ahí y no lo era, por lo que pregunté dónde debería ir y me encontré con dos personas que también vinieron a hacer la entrevista y me dijeron que en realidad tenía que ir a otro edificio. Después, además de paso por si acaso, llamé a la persona entrevistadora y me dijo exactamente dónde tenía que ir y cómo entrar. Básicamente eso. 
Capaz algo que pasó hoy particularmente, que lo recuerdo porque fue como medio fuerte, no fuerte no, pero emocionante fuerte, fue una pequeña cagada de pedos, más que cagada de pedos, fue como un ché, tal vez bueno qué, que me dijo mi líder, que me pegó un poco y le pedí explicaciones y tuvimos que hablar bien y llegamos bien a un acuerdo así que todo terminó bien. ¿Qué otra cosa hice hoy? Bueno puedo decir que comí, comí bastante de sobras, almorcé dos porciones de pizza que me quedaron y un suflé de, creo que era de berenjena con pollo y algunas cosas más, no sé qué tenía. Ah y queso también, muy rico. Me hice un café tipo 5 de la tarde porque había dormido muy poco y necesitaba despertar de alguna manera."
22,venir acá jugar buen primero visitar viejo hospital terapia intensivo distinto motivo médico hacer falta meter yo detalle ir meter yo detalle punto infección urinario internado previamente mismo analizar si hemorragia interno resultado sangre bajar así buen joya terapia intensivo bien ahí chequeo habitación terapia intensivo lindo verdad madera barnizado verdad lindo individual buen entrar ocho persona ahí menos todo sala terapia intensivo siete enfermero enfermera dos persona recepción hospital álvarez quedar uy calle a eh si terrado ahí terrado condarco buen después ir él visitar comer casa básicamente pollo milanés carne así nomás hecho plancha poquito buñuelito acelgar después almorzar poner hielo pie hacer bosta dedo caer decir tubo lysoform pie doler toque caminar tranca lastimadura quedar moretón corte sangrado raro buen después poner jugar compu básicamente poner jugar juego llamado terraria poner juntar material poner poner detalle material nadie ir entender así de spués tomar después preparar vestir venir acá tomar taxi avellanedo bolivia nazear juan b justo tomar yo 34 ramal b tardar 4 minuto venir 7 persona parada bondi casi lleno asiento ocupado persona parada bondi tardar hora venir acá bastante bien tránsito poder sentar faltar menos 15 minuto bajar mucho gente hipódromo buen siempre después llegar edificio guardia cantidad impresionante tatuaje cara decir dar instrucción l49 hacer entrevista decir buscar dos pasillo ayudar señora buscar él señora carro carro bien grande ocupar casi pasillo 3 millón cosa esperar rato asiento frente puerta pared derecho hacer pasar acá taxista dirigir palabra caso curioso cinturón abrochar paso después salir menos poquito claro día vez llegar parada bondi oscuromi viejo hoy pedir diario ejemplo saber querer página 12 comprar popular si llevar clarín nación matamar probar pantalón venir acá quedar así aumentar peso parecer ser,"Antes de venir acá estuve jugando un buen... no, primero, fui a visitar a mi viejo al hospital él está en terapia intensiva por distintos motivos médicos, no hace falta meterme en detalles, vamos a meterme en detalle el punto de esto. Él está con una infección urinaria, estuvo internado previamente por lo mismo. Se está analizando también si tiene una hemorragia interna o no, los resultados de la sangre no le bajaron así que bueno, eso esta joya. Y nada, él está en terapia intensiva pero él está bien, está ahí más por chequeo. La habitación de la terapia intensiva era muy linda la verdad, todo madera barnizada, la verdad que era muy linda, era individual para él eso estaba bueno, entran ocho personas ahí más o menos en toda la sala de terapia intensiva había siete enfermeros y una enfermera, dos personas en la recepción. El hospital es el Álvarez, que queda en... uy esa calle no la tengo, ah si, Terrada, ahí está, Terrada y Condarco. Y bueno después de irlo a visitar comí lo que había en casa, que básicamente era un poco de pollo, una milanesa, carne así nomás hecha a la plancha, un poquito de buñuelitos de acelga. Y después de almorzar me tuve que poner hielo en el pie porque me hice bosta del dedo me cayó un, como se dice en este, un tubo de Lysoform en el pie. Me dolió un toque caminar pero todo tranca. La lastimadura quedó con un moretón, un corte, sangrado, nada raro y bueno después de eso me puse a jugar a la compu, básicamente me puse a jugar un juego llamado Terraria me puse a juntar materiales. No me pongo a poner en detalle los materiales porque nadie va a entender nada así que. Y después me tomé, después me preparé, me vestí para venir para acá me tomé un taxi en Avellaneda y Bolivia hasta Nazca y Juan B. Justo para tomarme el 34, el ramal B. Tardó 4 minutos en venir, había 7 personas en la parada, el bondi estaba casi lleno todos los asientos ocupados y había una persona parada. Y el bondi habrá tardado eso de una hora en venir para acá, bastante bien el tránsito. Y me pude sentar faltando más o menos 15 minutos, se bajó mucha gente en el hipódromo como bueno, pero como siempre. Después llegué a este edificio el guardia que tenía una cantidad impresionante de tatuajes en la cara me dijo que, me dio instrucciones del L49, que es donde estoy haciendo esta entrevista me dijo que busque por los dos pasillos y me ayudó una señora a buscarlo. Una señora que tenía un carro, un carro bien grande que ocupaba casi todo el pasillo con 3 millones de cosas. Esperé un rato en los asientos que están al frente de la puerta, en la pared derecha y me hicieron pasar por acá 
El taxista no me dirigió la palabra como caso curioso el cinturón no se abrochaba, de paso. Después nada, que salí más o menos... estaba un poquito claro el día, pero una vez que llegué a la parada del bondi ya estaba todo oscuro.
Mi viejo hoy me pidió el diario por ejemplo y... yo que sé, no había... quería Página 12 y no había, le compré la popular porque si le llevo Clarín o La Nación me mata.
Me probé un pantalón antes de venir para acá, no me quedaba, así que... aumenté de peso parece ser."
23,venir hoy entrevista despertar mañana venir cursar facultad cursar estructura materia 3 aburrido trabajar siquiera acuerdo trabajar malo memoria buen importar acuerdo trabajar hablar molécula distinto forma distinto cosa importante comer chocotorta recreo después volver cursar lamentablemente seguir mismo ver ahí pasar terminar clase comer después rato esperar vinir entrevista," Antes de venir hoy a la entrevista, me desperté a la mañana y vine a cursar a la facultad. Cursamos estructura de la materia 3, que fue muy aburrido. Estuvimos trabajando sobre... Ni siquiera me acuerdo de que estuvimos trabajando. Tengo muy mala memoria para eso. Bueno, no importa porque no me acuerdo de que estuvimos trabajando, pero estuvimos hablando de moléculas de distintas formas y distintas cosas. Pero lo más importante es que estuvimos comiendo chocotorta en el recreo y después de eso volvimos a cursar lamentablemente ,y seguimos con lo mismo que estábamos viendo antes. De ahí pasamos... o sea, terminamos la clase, fuimos a no comer y después de un rato de esperar, vinimos a la entrevista."
24,venir acá llegar facultad problema venir siempre auto regalar abuela papá acá ninguno lugar estacionar lleno gente cbcho facultad acá atrás fadu así dejar él atrás pabellón 2 venir querer juntar amiga pasar malo situación visto tiempo bastante largo así juntar compañero charlar cerca escalinata 2 poquito miedo víboro alrededor pastito dos compañero vestido igual dos uso identidad pantalón jean buen hablar hablar cada cosa pasar tiempo junto cosa doler tiempo amigo acabar salir dar clase materia ayudante así contar pasado ahí amiga contar nuevo diagnóstico bastante importante hablar viaje buen," Antes de venir acá, llegué a la facultad con muchos problemas. Vengo siempre en un auto que me regaló entre mi abuela y mis papás. Acá no hay ningún lugar para estacionar porque está todo lleno de gente de CBC y de la facultad que está acá atrás que es FADU. Así que tuve que dejarlo atrás del pabellón 2. Y vine antes porque me quería juntar con una amiga que está pasando por una muy mala situación que yo no había visto en un tiempo bastante largo. Así que me junté con ella y con otro compañero y estuvimos charlando cerca de las escalinatas del 2 con un poquito de miedo de que haya víboras por los alrededores del pastito. 
Mis dos compañeros estaban vestidos iguales porque tenían los dos el uso de identidad y pantalones de jean. 
Bueno, de lo que hablamos. Hablamos cada uno de las cosas que nos pasaron durante los tiempos que nos estuvimos juntos. Sobre todo de las cosas que nos dolieron en ese tiempo. Mi amigo acaba de salir de dar clases de la materia de la que es ayudante. Así que nos contó un poco de lo que le había pasado ahí. Mi amiga me contó de su nuevo diagnóstico, que eso es bastante importante. Y yo les hablé del viaje. Bueno."
25,venir reunión grupo labo charlar hecho semana pasado persona labo menos par 7 8 labo saber si contar específicamente hablar reunión situación contar hacer semana pasado cómo necesitar modificar cierto circuito cambiar condición hacer tesis escuchar par contar resto gente par ir viaje semana pasado congreso entonces hablar persona congreso hoy así contar dos falta persona después par cosa general compra proyecto completar información cosa después venir correr acá venir crucir amiga ir comprar pabellón 1 así comprar después vinir caminar acá registrar entrada venir directo sala," Antes de venir estaba en la reunión del grupo del labo, estuvimos charlando un poco de lo que habíamos hecho la semana pasada. Las personas que estamos en el labo menos un par, que somos 7, 8 en el labo. No sé si contar más específicamente de qué hablé en la reunión o más de la situación. Conté un poco de lo que estuve haciendo la semana pasada, de cómo necesitaba modificar ciertos circuitos para cambiar las condiciones de lo que estoy haciendo en la tesis. Y un poco escuché un par de lo que estaban contando el resto de la gente. Habían par que se habían ido de viaje la semana pasada a un congreso, entonces hablando un poco de eso. Una de las personas que estaba en el congreso no estaba hoy, así que es como que contaron los dos que estuvieron, pero falta una persona. Y después un par de cosas generales de compras y proyectos que hay que completar, información y esas cosas. Y después vine corriendo para acá. Antes de venir me crucé una amiga que tenía que ir a comprar algo al Pabellón 1, así que fue a comprar eso. Y después vinimos caminando por acá. Me registré en la entrada y vine directo a la sala."
26,venir almorcé clase 8 mañana 2 tarde laboratorio mecánico termodinámica comer entonces bajar almorzar pizza traer casa persona salir ahorita lindo detalle aquí casi vender pizza hawaiano entonces comprar latita piña ananá poner pizza comprar coca cola dejar tomar coca cola aquí único lugar poder tomar coca cola nadie ver preguntar franco quedar edificio escuchar audio ubicar entonces preguntar franco franco abrir google map ahí mostrar venir saber ir hablar subir baño cepillar diente,"Antes de venir almorcé, porque tuve clases de 8 de la mañana a 2 de la tarde laboratorio de mecánica y termodinámica, y no había comido nada entonces bajé a almorzar pizza que traía de la casa de la persona con la que estoy saliendo ahorita, que fue un lindo detalle porque aquí casi no venden pizza hawaiana y entonces él compró una latita de piña, de ananá y le puso a la pizza. Y me compré una coca cola porque no me dejan tomar coca cola y aquí es el único lugar donde puedo tomar coca cola sin que nadie me vea. 
Le pregunté a Franco que de donde quedaba este edificio porque escuché el audio y como que no me ubicaba entonces le pregunté a Franco, y Franco me abrió el google maps y ahí me mostró. Y antes de venir como no sabía con quien iba a hablar ni nada subí al baño y me cepillé los dientes."
27,buen venir inmediatamente venir hacer tiempo después salir cálculo parcialito programación hacer par ejercicio resolver ecuación diferencial distinto método programar él manera diferente 60 70 persona dividir dos aula menos 30 cada dos ayudante segundo dos ayudante primero buen tocar computadora cerca puerta tocado andar bien internet así cambiar parcialito relativamente fácil problema cómo llamar sintaxis hacer ejercicio resolver medio hora hora medio corregir numerito equivocado cosito caso patológico funcionar desayunar casa matecito llegar acá comprar café uno medialuna teórico cálculo pasar medio venirsí buen almorzar chico hacer tiempo cálculo tommy chulo luna crucir caro cami crucé grupito luca emi maia manu saber baño salir casi chapo manu saludamos encaramos dos mismo lado incómodo tirar café buzo así refregar baño justo hoy traer buzo blanco buen después comer caer vicky juan conocer hacer amigo amigo día,"Bueno, antes de venir, yo... Inmediatamente antes de venir, estaba haciendo tiempo después de salir de cálculo, tuve un parcialito de programación, teníamos que hacer un par de ejercicios, resolver las ecuaciones diferenciales con distintos métodos, programarlo de manera diferente. Éramos como 60 o 70 personas, nos dividieron en dos aulas de más o menos 30 cada una, nosotros estábamos con los dos ayudantes de segunda, los dos ayudantes de primera estaban en el otro. Bueno, me tocó una computadora que estaba cerca de la puerta, antes que eso me había tocado otra, pero no andaba bien, no tenía internet, así que me tuve que cambiar. El parcialito estuvo relativamente fácil, hubo muchos problemas de lo que tenía que... ¿Cómo se llama esto? De la sintaxis de lo que estábamos haciendo, o sea, todo el ejercicio estaba resuelto en media hora, pero estuve una hora y media corrigiendo numeritos que me había equivocado, cositas, casos patológicos que no funcionaban. Y antes de eso, no, desayuné en casa, y con unos matecitos, llegué acá, me compré un café y unas medialunas, tuvimos la teórica de cálculo antes de todo eso. Y eso es todo lo que pasó en media antes de venir.
Sí, bueno, almorcé con los chicos antes de hacer tiempo entre el cálculo y esto, estábamos Tommy, Chula, Luna y yo, me crucé a Caro, Cami, me crucé al grupito de Luca, Emi, Maia, Manu, no sé qué, en el baño saliendo casi me chapo con Manu porque nos saludamos y como que encaramos con los dos para el mismo lado, y fue muy incómodo. Me tiré el café en el buzo, así que lo estuve refregando un poco en el baño, que más que más, justo hoy traigo el buzo blanco. Bueno, después cuando estábamos comiendo cayeron Vicky y Juan, que son los que conocimos hace poco por amigo de amigos, y eso fue todo el día."
28,despertar venir exagerado poder contar día verdad interesante día despertar 9 medio horario despertar yo siempre duchar cambiar venir acá tomar 160 creer 160 llegar corregir informe labo 2 corregido quedar corregir desastre malísimo informe igual poner 8 tanto mal profesor buen corregir informe almorzar primero almorzar después corregir informe alguno permutación poner escribir paper repente decir che creer hora venir hacer entrevista mandar mensaje hacer venir aca productivo día ver directoratomé mate sabrina amiga trabajar hoy entonces venir acá trabajar lado justo acá entonces tomar mate 20 minuto olvidado," Me desperté antes de venir muy exagerada. Te puedo contar mi día, la verdad es que no fue muy interesante mi día. Me desperté como a las 9 y media, porque es mi horario de despertarme siempre, me duché, me cambié y vine para acá. Tomé el 160 creo, sí, el 160. Llegué y tenía que corregir informe de labo 2, ya había corregido uno, pero me quedaba que corregir el otro, un desastre, malísimos esos informes. Igual les puse un 8, porque no soy tan mal profesor. Pero bueno, eso fue. Corregí el informe, fuimos a almorzar o primero fui a almorzar, después corregí el informe. O alguna de esas permutaciones. Y me puse a escribir un paper, y de repente dije, che, ya creo que es hora de venir a hacer la entrevista y te mandé un mensaje. Eso fue todo lo que hice antes de venir aca. No fue muy productivo mi día, que no vea esto mi directora.
Tomé mates con Sabrina, una amiga mía, que trabaja hoy, entonces ella viene acá, ella trabaja en otro lado y justo estaba acá, entonces tomamos mates unos 20 minutos. Me había olvidado de eso. "
29,preparar video trabajo hacer tesis cuarto vez rehago video director tesis pedir serie detalle específico pedir modificár fuente luz video ángulo incidir tratar falsificar manera ver mismo dar él mejor perspectiva producto tratar vender salir laboratorio camino acá llamar atención altura laboratorio bajo temperatura quedar esperar afuera dejar pasar seguridadestá nublado holer humo fresco día día general saber parecer llamativo,"Estuve preparando un video para un trabajo que estoy haciendo de la tesis. Es la cuarta vez que rehago ese video. Mi directora de tesis me pidió una serie de detalles específicos. Pidió que modificáramos la fuente de luz del video, el ángulo en el que incide, y que tratemos de falsificar un poco la manera en la cual se ve el mismo para darle mejor perspectiva al producto que estamos tratando de vender. Salí del laboratorio y en el camino para acá me llamó la atención la altura que tiene el laboratorio de bajas temperaturas. Y me quedé esperando afuera hasta que me dejaron pasar los de seguridad.
Está nublado, huele a humo, está fresco. Del día a día en general no sé nada que me parezca llamativo. "
